id,latitude,longitude
100,37.2742,-121.88188
179,49.174494,-123.847843
189,49.135645,-123.78076
195,41.059725,-124.128893
354,40.58124,-111.847381
453,43.747508,-122.456752
459,40.474567,-111.891498
473,36.724515,-119.701662
489,33.795551,-118.260944
583,34.089558,-118.226068
713,50.711006,-120.37674
747,43.304338,-91.787543
757,35.930507,-78.953888
767,37.709121,-121.921965
826,40.707397,-111.808776
828,49.322067,-124.331144
840,52.280226,-113.856726
880,48.795546,-123.693267
896,48.930724,-123.733381
908,53.914738,-122.741981
912,48.72967,-123.664121
916,53.914738,-122.741381
920,48.795054,-123.736087
922,48.653296,-123.652244
924,48.785081,-123.659174
928,48.692729,-123.589758
968,48.81372,-124.172625
976,48.815238,-123.610254
1006,38.297756,21.822891
1024,41.32704,-111.814401
1068,49.657875,-124.024326
1072,49.476896,-123.802392
1080,49.436778,-123.47752
1086,49.621084,-124.025041
1092,40.664162,-111.798697
1132,35.376694,-83.629564
1138,35.315834,-82.460722
1172,32.676192,-115.483389
1178,37.67254,-120.357943
1186,40.357509,-122.332982
1192,37.672786,-119.80827
1198,42.945404,-72.322818
1202,42.937598,-72.270885
1208,38.568383,-121.493224
1210,42.523133,-90.659736
1216,37.550167,-119.642774
1220,42.940061,-72.313956
1224,42.938033,-72.259303
1228,42.931101,-72.272914
1234,55.938547,12.326118
1242,41.257576,-111.707551
1248,53.911181,-122.732703
1250,53.964588,-122.782692
1258,53.9148,-122.775
1272,54.092286,-128.616448
1280,53.893546,-122.813868
1284,53.929887,-122.801937
1288,53.85699,-122.755655
1290,53.913924,-122.762231
1294,49.423302,-123.640803
1296,37.488437,-119.967635
1298,49.393842,-123.535501
1302,49.931967,-119.443219
1304,37.500598,-119.840427
1312,41.727952,-122.643702
1314,49.489131,-123.750005
1318,35.313711,-83.176533
1324,50.649848,-120.348589
1326,35.527256,-82.895241
1330,35.606814,-82.56709
1334,35.053735,-83.188733
1354,35.2131,-80.165
1427,35.121017,-80.742714
1441,34.148355,-77.881374
1445,35.794396,-82.652225
1469,35.930378,-81.168005
1491,35.437746,-80.659763
1517,34.059919,-118.287979
1596,37.628714,-122.487734
1602,-25.829195,28.203366
1610,40.742577,-111.982119
1614,-33.678161,151.285714
1618,6.304304,-75.577661
1624,33.480218,-86.796337
1626,33.639629,-86.933504
1628,33.558734,-86.707647
1638,38.570599,-109.547253
1640,42.635482,-83.730288
1668,44.451997,26.084502
1672,38.289343,21.773867
1684,34.070987,-118.1424
1686,34.168053,-118.179443
1712,38.219372,21.756045
1716,39.732146,-105.015317
1720,-30.516705,151.657407
1732,-30.515002,151.659095
1738,-30.496605,151.660597
1740,54.696501,-127.051695
1742,37.758148,-122.507665
1748,34.023915,-118.428709
1756,55.269767,-128.074376
1758,55.020007,-127.330731
1762,34.411056,-119.516689
1796,33.602165,-117.902092
1800,34.100118,-117.492079
1804,33.878643,-117.350541
1806,33.913314,-117.428603
1808,33.968836,-117.312564
1810,33.882072,-117.333287
1814,33.987828,-117.336898
1816,33.763767,-118.145649
1818,33.890731,-117.310595
1828,33.952616,-117.411189
1832,33.941528,-117.41456
1848,34.141759,-118.060746
1852,34.021534,-117.90991
1854,33.999503,-117.416022
1858,33.962801,-118.406279
1866,33.999978,-117.416764
1870,38.110553,-122.243537
1872,38.103588,-122.188702
1874,38.066784,-122.220027
1876,34.01826,-118.460205
1892,34.106622,-118.146691
1914,33.773085,-118.081051
1922,33.773238,-118.085175
1946,33.755316,-118.305554
1956,33.847103,-118.313831
1966,33.770877,-118.087342
1968,33.600851,-117.707386
1970,33.99827,-118.437545
1974,33.711518,-118.291148
1976,33.715584,-118.303802
1980,33.733852,-118.303363
2006,35.39063,-120.60231
2008,33.765264,-118.090902
2010,35.656644,-120.376247
2014,34.138439,-118.13797
2018,33.762364,-118.091725
2020,33.762314,-118.082689
2025,33.766134,-118.083176
2031,37.733207,-122.423638
2043,45.495123,-122.63858
2045,45.544078,-122.59632
2055,45.535187,-122.84196
2057,45.500185,-122.692895
2059,45.512872,-122.873436
2063,37.393557,-122.347209
2069,47.666977,-122.393359
2109,-4.30068,15.31366
2153,33.767108,-118.089257
2155,33.999978,-117.416764
2167,33.999978,-117.416764
2169,33.770245,-118.090093
2189,40.484821,-80.04765
2205,40.544741,-74.622786
2209,6.216562,-75.567423
2213,19.427697,-155.875905
2217,44.193321,-76.200451
2221,38.159033,-76.541911
2225,51.646856,-120.045682
2239,38.900192,-77.265591
2241,39.265518,-77.188568
2243,36.087489,-95.808622
2245,39.62018,-106.098991
2259,34.127393,-118.107723
2263,34.127633,-118.108093
2285,33.874158,-117.345834
2301,32.509122,-94.710865
2303,33.761992,-118.087671
2305,36.332542,-119.290993
2307,33.765387,-118.078203
2309,34.023561,-118.426295
2323,33.769011,-118.078867
2325,33.999978,-117.416764
2334,48.218657,-122.686531
2336,33.769814,-118.084689
2338,48.987544,-123.679282
2342,48.287,-114.294
2346,33.999978,-117.416764
2348,33.768809,-118.078579
2350,35.35662,-119.06261
2352,33.770151,-118.196411
2354,33.765174,-118.078255
2356,33.759892,-118.089287
2360,33.768011,-118.083652
2362,34.076629,-118.222371
2366,33.771323,-118.083483
2370,33.765073,-118.081437
2372,33.777669,-118.091998
2384,39.839859,-86.157568
2386,29.532282,-95.076473
2388,39.810641,-86.114517
2392,39.404252,-104.553031
